,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,Type ,Markets,Top Markets,Zone,Print-run,Publication,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26
Saloon & Spa,Direct PO,1 - Total,All markets,West 1,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI IC,Direct PO,1 - Total,All markets,West 1,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,5.7,6.6,6.5,6.2,5.4,5.9,2.0,3.9,6.7,6.6,7.4,6.7,8.1,7.9,7.9,6.3,6.3
ET IC,Direct PO,1 - Total,All markets,West 1,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCD,Direct PO,1 - Total,All markets,West 1,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CSP,Direct PO,1 - Total,All markets,West 1,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.9,3.9,3.8,3.8,3.8,3.7,3.6,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.1,3.0,3.0
Sponsorship,Direct PO,1 - Total,All markets,West 1,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Airport,Direct PO,1 - Total,All markets,West 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,5.7,6.0,6.1,6.1,6.3,6.2,6.2,6.2,6.6,6.6,6.6,6.6,6.6,6.6,6.4,6.4,6.4
Airlines ,Direct PO,1 - Total,All markets,West 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Railways ,Direct PO,1 - Total,All markets,West 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,6.6,7.6,7.5,7.7,7.4,6.7,7.0,7.0,7.7,8.1,8.6,8.7,8.9,9.2,9.3,9.3,9.7
Metro Railways,Direct PO,1 - Total,All markets,West 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,4.4,4.6,4.6,4.7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.8,5.0,5.1,5.1,5.1,5.1
