,,,,,,,,,,,,,,,,,,Chain name,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,,,,,,,,Hotel,,,,,,,,,,Hospitals,,,,,,,,,,Railways,,,,,,,,Roadways,,,,,,,,Offices & Banks,,,,,,,,CCD,,,,,,,,Chaayos,,,,,,,,Campus TOIC,,,,,,,,Campus ETIC,,
Zone,City,Sum of TOI,Sum of ET,Sum of NBT,Sum of MT,TOTAL,,Dec 25 PO,,Cat,,,,,,,,Zone,City name, TOI , ET , NBT , MT ,TOTAL,,,,Zone,Train type, TOI , ET , NBT , MT ,TOTAL,,Zone,City name,Sum of TOI,Sum of ET,Sum of NBT,Sum of MT,TOTAL,,Zone,City name,TOI,ET,NBT,MT,TOTAL,,State,City,Sum of # TOI,Sum of # ET,Sum of # NBT,Sum of # MT,TOTAL,,Region,City,Sum of TOI,Sum of ET,Sum of NBT,Sum of MT,TOTAL,,Zone,City name,PO,,,,,,Zone,City name,PO
North,Delhi," 6,529 "," 1,715 "," 1,170 ",," 9,414 ",,East,Dhanbad,,, 15 ,, 15 ,,,,North,Jaipur, 50 , 5 , -   ,, 55 ,,,,South 1,Rajdhani, 100 ,,,, 100 ,,South 2,(blank),,,,, -   ,,North,Delhi," 6,605 "," 3,673 "," 4,072 ",," 14,350 ",,,Jamshedpur,48,12,0,0, 60 ,,South,BLR,50,25,,, 75 ,,EAST,Cuttack, -   ,,,,,,EAST,Dhanbad, -   
North,Jaipur, 600 ,,,, 600 ,,East,gopalpur, 4 ,,, 2 , 6 ,,,,North,Lucknow, 55 , 3 , 35 ,, 93 ,,,,South 1,Shatabdi," 1,500 ",,,," 1,500 ",,West 1,Mumbai," 3,822 ", 235 , 3 , 224 ," 4,284 ",,North,Jaipur, 260 , 162 , -   ,, 422 ,,Karnataka,Bangalore,475,125,0,0, 600 ,,,CHENNAI,6,3,,, 9 ,,EAST,Dhanbad, 1 ,,,,,,EAST,Gunupur, 175 
North,Kanpur, 285 , 25 , 90 ,, 400 ,,East,Guwahati, 3 , 69 , 17 , 108 , 197 ,,,,North,UPC, 177 , 120 , -   ,, 297 ,,,,South 1,Vande Bharat," 5,600 ",,,," 5,600 ",,West2,Pune, 700 , -   ,, 240 , 940 ,,North,Lucknow, 89 , 57 , 7 ,, 153 ,,Maharashtra,Mumbai,144,72,72,72, 360 ,,,HYD,6,3,,, 9 ,,EAST,Dimapur, 2 ,,,,,,EAST,Jamshedpur, 130 
North,Lucknow, 455 , 85 , 230 ,, 770 ,,East,Jamshedpur,, 16 , 47 ,, 63 ,,,,South 1,Bangalore City, 988 , 10 ,,, 998 ,,,,South2,Duronto, 400 , 1 , -   , -   , 401 ,,Grand Total,," 8,277 ", 348 , 124 , 464 ," 9,213 ",,North,UPC, 197 , 230 , -   ,, 427 ,,,Nagpur,72,18,0,18, 108 ,,West,MUM,56,28,28,28, 140 ,,EAST,Guwahati, 188 ,,,,,,EAST,Jharsuguda,
North,Prayagraj, 195 , 10 , 100 ,, 305 ,,East,Jharsuguda, 11 ,,,, 11 ,,,,South 1,KOCHI, 68 , -   ,,, 68 ,,,,South2,Rajdhani, 800 , 1 , -   , -   , 801 ,,,,,,,,,,South 1,Bangalore, 10 , 10 ,,, 20 ,,,Nashik ,24,6,6,6, 42 ,,,PUNE,8,4,4,4, 20 ,,EAST,Imphal, 29 ,,,,,,EAST,Kendrapada, 6 
North,Varanasi, 285 , 45 ,,, 330 ,,East,Kaziranga,,, 25 ,, 25 ,,,,South 1,Mysore City, 10 , -   ,,, 10 ,,,,South2,Shatabdi," 2,100 ", 4 , -   , -   ," 2,104 ",,,,,,,,,,South 2,Chennai, 581 , 18 ,,, 599 ,,,Palghar,6,3,3,3, 15 ,,,THANE,2,1,1,1, 5 ,,EAST,Itanagar, 30 ,,,,,,EAST,Kolkata & Up Country , 350 
South I,Bangalore," 8,000 "," 1,200 ", -   , -   ," 9,200 ",,East,Kolkata, 34 , 830 , 79 , 613 ," 1,555 ",,,,South 1,ROK Hubli, 27 ,,,, 27 ,,,,South2,Tejas, 400 , 1 , -   , -   , 401 ,,,,,,,,,,South 2,Chennai ,,,,, -   ,,North,Delhi,711,193,124,0," 1,028 ",,Grand Total,,294,147,116,98, 655 ,,EAST,Jajpur Road, 82 ,,,,,,EAST,Nayagarh, -   
South I,COCHIN, 500 , -   , -   , -   , 500 ,,East,Paradip,, 43 ,,, 43 ,,,,South 1,ROK-Mangalore, 35 ,,,, 35 ,,,,South2,Vande Bharat," 8,840 ", 10 , -   , -   ," 8,850 ",,,,,,,,,,South 2,Coimbatore ,,,,, -   ,,,(blank),6,3,3,, 12 ,,,,,,,,,,EAST,Jamshedpur, 16 ,,,,,,EAST,Paradeep, 10 
South I,Mangalore, 250 , -   , -   , -   , 250 ,,East,Patna, 1 , 96 , 78 , 5 , 180 ,,,,South 1,ROK-Mysore, 32 ,,,, 32 ,,,,West 2,Duronto, 952 , -   , -   , 50 ," 1,002 ",,,,,,,,,,South 2,Hyderabad, 204 , 149 ,,, 353 ,,North East,Guwahati,36,,0,0, 36 ,,,,,,,,,,EAST,Jharsuguda, -   ,,,,,,EAST,Paralakhemundi, 1 
South I,TRIVANDRUM, 200 , -   , -   , -   , 200 ,,East,puri, 82 , 46 ,, 94 , 222 ,,,,south 2,Chennai , 901 , 15 ,,, 916 ,,,,West 2,Rajdhani, 729 , -   , -   , -   , 729 ,,,,,,,,,,South 2,Madurai,,,,, -   ,,,Shillong,12,,0,0, 12 ,,,,,,,,,,EAST,Kendrapada, 6 ,,,,,,EAST,Patna, 55 
